Heure de début,Heure de fin,Calories (kcal),Distance (m),Fréquence cardiaque moyenne (bpm),Fréquence cardiaque maximale (bpm),Fréquence cardiaque minimale (bpm),Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)"
16:00:00.000Z,16:15:00.000Z,18.132812316029238,,,,,,,,,,,,,,,,,
16:15:00.000Z,16:30:00.000Z,18.132812316029238,,,,,,,,,,,,,,,,,
16:30:00.000Z,16:45:00.000Z,18.132812316029238,,,,,,,,,,,,,,,,,
16:45:00.000Z,17:00:00.000Z,18.132812316029238,,,,,,,,,,,,,,,,,
17:00:00.000Z,17:15:00.000Z,18.194733677628765,,,,,,,,,,,,,85.0,85.0,85.0,,890
17:15:00.000Z,17:30:00.000Z,80.75001084917756,1012.041570220434,97.18066323657808,112.0,78.0,48.89582824707031,2.3439199924468994,48.90362548828125,2.3462119102478027,1.172883765614825,2.202849864959717,0.3527371883392334,1166,,,,,900000
17:30:00.000Z,17:45:00.000Z,66.89268414072225,487.434669937647,102.8990724117295,116.0,97.0,48.89218521118164,2.346217632293701,48.89582824707031,2.348980665206909,0.9854625105979248,2.235687017440796,0.16706828773021698,559,,,,199172,700828
17:45:00.000Z,18:00:00.000Z,18.132811350450925,,,,,,,,,,,,35,,,,900000,
18:00:00.000Z,18:15:00.000Z,3.721558053998381,,,,,48.8921171,2.3479442,48.8929779,2.3487938,,,,,,,,184715,
18:15:00.000Z,18:30:00.000Z,,,,,,,,,,,,,,,,,,
18:30:00.000Z,18:45:00.000Z,,,,,,,,,,,,,,,,,,
18:45:00.000Z,19:00:00.000Z,,,,,,,,,,,,,,,,,,
19:00:00.000Z,19:15:00.000Z,,,,,,,,,,,,,,,,,,
19:15:00.000Z,19:30:00.000Z,,,,,,,,,,,,,,,,,,
19:30:00.000Z,19:45:00.000Z,,,,,,,,,,,,,,,,,,
19:45:00.000Z,20:00:00.000Z,,,,,,,,,,,,,,,,,,
20:00:00.000Z,20:15:00.000Z,,,,,,,,,,,,,,,,,,
20:15:00.000Z,20:30:00.000Z,,,,,,,,,,,,,,,,,,
20:30:00.000Z,20:45:00.000Z,,,,,,,,,,,,,,,,,,
20:45:00.000Z,21:00:00.000Z,,,,,,,,,,,,,,,,,,
21:00:00.000Z,21:15:00.000Z,,,,,,,,,,,,,,,,,,
21:15:00.000Z,21:30:00.000Z,,,,,,,,,,,,,,,,,,
21:30:00.000Z,21:45:00.000Z,,,,,,,,,,,,,,,,,,
21:45:00.000Z,22:00:00.000Z,,,,,,,,,,,,,,,,,,
22:00:00.000Z,22:15:00.000Z,,,,,,,,,,,,,,,,,,
22:15:00.000Z,22:30:00.000Z,,,,,,,,,,,,,,,,,,
22:30:00.000Z,22:45:00.000Z,,,,,,,,,,,,,,,,,,
22:45:00.000Z,23:00:00.000Z,,,,,,,,,,,,,,,,,,
23:00:00.000Z,23:15:00.000Z,,,,,,,,,,,,,,,,,,
23:15:00.000Z,23:30:00.000Z,,,,,,,,,,,,,,,,,,
23:30:00.000Z,23:45:00.000Z,,,,,,,,,,,,,,,,,,
23:45:00.000Z,00:00:00.000Z,,,,,,,,,,,,,,,,,,
